username,upassword,utype,remainday,ucode,mail,phone
an,123,Normal,0,33xma9,an@gmail.com,0123456789
bao,456,Normal,0,98mla3,bao@gmail.com,0123456791
chi,789,Vip,30,67ads1,chi@gmail.com,0123456792
chien,13441,vip,30,11dgs6,chien@gmail.com0,0234569157
dat,123,Vip,18,18xma9,dat@gmail.com,0123456789
hieu,2345678,Vip,30,67jka8,hieu@gmail.com,0123456808
hoa,567890,Normal,0,89dmc3,hoa@gmail.com,0123456806
hoan,456,Vip,19,45daa9,hoan@gmail.com,0123456790
hung,2345,Vip,30,90fso0,hung@gmail.com,0123456794
huyen,34567,Normal,0,12qma8,huyen@gmail.com,0123456797
khang,789,Vip,30,89jdk1,khang@gmail.com,0123456793
linh,456789,Vip,30,90lks1,linh2@gmail.com,0123456805
loan,12345,Vip,30,89dca1,loan@gmail.com,0123456801
mai,345678,Normal,0,67ajs5,mai@gmail.com,0123456804
minh,23456,Vip,28,09dma3,minh@gmail.com,0123456798
nhan,3456789,Normal,0,34mka9,nhan@gmail.com,0123456809
phuong,123456,Normal,0,23jka9,phuong@gmail.com,0123456802
quang,234567,Vip,29,56mla0,quang@gmail.com,0123456803
thanh,345,Normal,0,78lma2,thanh@gmail.com,0123456795
thao,1234567,Vip,30,23dmk7,thao@gmail.com,0123456807
trung,987,Vip,30,34sda6,trung@gmail.com,0123456799
tuan,678,Normal,0,45ama7,tuan@gmail.com,0123456800
